Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10
Row1	0.855860225639656	0.885869330484162	0.175270884793452	0.51447102878025	0.774136368956984	0.905624545965217	0.389708392060871	0.463440212769484	0.256578192178903	0.988605271400054
Row2	0.192073817199248	0.650448839693624	0.7988618878077	0.0243853439862036	0.595118115816351	0.575379425250787	0.517286286784024	0.840883198330211	0.315918798943859	0.943434353597993
Row3	0.970407729440748	0.162582922946221	0.633982900068649	0.251985821085867	0.126494078917641	0.977743688246001	0.576114600257558	0.675185804660131	0.627542553626849	0.529824911514162
Row4	0.662610623634496	0.327265095838698	0.960555548767314	0.109021180856509	0.214746448330164	0.162089998057937	0.937589692325783	0.564220058009816	0.761682424167194	0.643441189722722
Row5	0.0986063509727266	0.383281481707975	0.431983860267355	0.336108069992108	0.579301978263427	0.840328661512352	0.735170855972545	0.926355191686014	0.376954394087743	0.0134011491333368
Row6	0.774474909457627	0.101341708208068	0.251081612876472	0.00564026279544549	0.453787962680739	0.68601168154575	0.115693511167944	0.920069282629989	0.498278341365523	0.453799178731273
Row7	0.322568755265447	0.644534893917204	0.276074837039832	0.860808887125131	0.759880309374278	0.292656292743892	0.242667767266756	0.384167067019021	0.960317826296656	0.852473247792993
Row8	0.913252052596423	0.221840595845862	0.143434598983458	0.741308295038159	0.262274976940848	0.396870204231888	0.227225834493677	0.218200191579307	0.343208164529162	0.132759322729328
Row9	0.705994114695709	0.0197898332242303	0.282422223836921	0.0734288118279238	0.98057234285903	0.858035110196788	0.0245112894007242	0.121041799259586	0.271274554630519	0.135511699033778
Row10	0.766126148728251	0.484098460182722	0.874976008266653	0.123861628820542	0.713086586093855	0.8580994100613	0.930056274900988	0.0313446789094556	0.0111388203712188	0.409004999438494
Row11	0.414267937565793	0.615218325665857	0.642210272697131	0.568527766845733	0.161739290157424	0.923234120092623	0.0315241841842813	0.268463183285277	0.790227417036956	0.16593110889746
Row12	0.690728626606049	0.592891171577946	0.575478542990805	0.808294271186163	0.620651022462585	0.381894268877389	0.196320884340533	0.547016993990432	0.43491822760507	0.8137892833183
Row13	0.555231717586718	0.619975414770529	0.341116342143852	0.675734438588265	0.411030324598723	0.73012808037091	0.656161516196253	0.921554865691405	0.652622185520425	6.08721511312638e-05
Row14	0.441995918641158	0.242952451806801	0.708052584751382	0.6895935886647	0.959619551940083	0.0437830544356359	0.787339984083655	0.681665022815203	0.86495153675823	0.220271497478322
Row15	0.569596412826424	0.886156882381918	0.648341669074146	0.0919941469863375	0.186874040033768	0.0330675436762604	0.568107282202892	0.293916780593307	0.254199341265402	0.771793460365807
Row16	0.892759539175248	0.289083478545848	0.525689164155903	0.399133135684288	0.370240049714273	0.770686938326989	0.00193184594487761	0.882534968833816	0.537270963130627	0.732813511593463
Row17	0.908531654528741	0.495230067879767	0.397712246319418	0.558373944032965	0.547551525034233	0.345013344339115	0.593626527183861	0.523454828288465	0.183367658884503	0.257974931469683
Row18	0.00270748073491589	0.588032719793929	0.65611535433052	0.912478261480622	0.585090070321119	0.937784277719345	0.566528758953819	0.237795059003624	0.713712842429164	0.180328240732663
Row19	0.595753388210991	0.967330121689706	0.425851722763358	0.367000092452344	0.715959552186074	0.830214126228107	0.377824186360915	0.609164476786404	0.818752587843928	0.279749881921667
Row20	0.446930087830115	0.252715351332427	0.19803231873588	0.38593051669725	0.159333651909709	0.648026080147716	0.634794770798404	0.695796084580131	0.512807951940491	0.0530427279898333
Row21	0.759214174106273	0.514172091717917	0.470191457013829	0.197940289074992	0.329137988693585	0.343378512502476	0.912303720016983	0.349885027005314	0.935942420339284	0.699475070707457
Row22	0.225316821031402	0.190693081275711	0.00372595202821557	0.390806955334419	0.852688586057756	0.568897572187183	0.314384121144496	0.688948789542174	0.0393656823402644	0.836910172565567
Row23	0.400655433830902	0.870152636121894	0.937817261143014	0.425190073913313	0.186326238856207	0.975252166974634	0.111445689192227	0.94584001900661	0.105126896271823	0.586448909448329
Row24	0.969047893641065	0.130687164991201	0.438262983609842	0.0999217716979572	0.580401754837357	0.482152543227514	0.818948896876488	0.673796904945469	0.771984628879725	0.603168356989215
Row25	0.257817337628222	0.432355445135194	0.0756782804339089	0.744793868129094	0.845862143482176	0.930730852505853	0.522584068048676	0.402359731492169	0.644954030008318	0.541669497531934
Row26	0.0373969617595158	0.553913903678207	0.536394379577668	0.669736888025078	0.222924698598408	0.885051243234329	0.77501154989913	0.271811557430262	0.134171908239285	0.61411019499316
Row27	0.202652594166917	0.449608201001972	0.559946180901367	0.119065074562997	0.976401098461292	0.154725217102175	0.768316615306407	0.785708002423732	0.932404362797254	0.724358447824805
Row28	0.369723188440933	0.425002043185771	0.457890692499046	0.852026679020618	0.225480143610913	0.340523146828971	0.80699543889278	0.138704417071658	0.32534631129386	0.025044627654637
Row29	0.948712945155204	0.902567670946219	0.499382671092196	0.404530715755854	0.259096027033561	0.927667995653074	0.268240345171794	0.169696737539994	0.0993053615597255	0.17142295970789
Row30	0.202203396430935	0.697089288721955	0.693963482321234	0.636636547125129	0.810758100787499	0.286191917747743	0.831312299822525	0.0452548562553901	0.257306584896032	0.364846902305246
Row31	0.0418544924716819	0.168259876001024	0.452145680811416	0.146403238932578	0.822548060261152	0.599671167061992	0.263374360102194	0.178181538244147	0.609415111775373	0.983851014389352
Row32	0.470482984184176	0.78743968846058	0.965940878253956	0.676107109455366	0.517647657693789	0.609005480250957	0.454322328566004	0.139497129787138	0.279961010050702	0.934715438874264
Row33	0.951047908609365	0.048925770954817	0.690859569470593	0.340989447741791	0.520146160338069	0.720875915355798	0.775865346081506	0.975129933313184	0.0825516018418959	0.637845755192991
Row34	0.0575781189710547	0.576738977186139	0.937346583153978	0.155811886508125	0.428893038446834	0.107098289843236	0.0722181852455428	0.0264687195001798	0.00305832202871059	0.101182084279188
Row35	0.221514914481357	0.829896070134446	0.535937853209251	0.154523089147773	0.819119274155138	0.384593571729347	0.251336198317365	0.436403802640015	0.581414581101139	0.408031635296048
Row36	0.0862367514003246	0.673400172533661	0.127487951286337	0.260168156400006	0.889180212400664	0.580389757238791	0.187071516227089	0.273557076714035	0.159778212547	0.402602639705407
Row37	0.902400964544835	0.606143322739065	0.796648435301694	0.760617493256106	0.0421097424773755	0.536637624881699	0.639130853913318	0.81448879826047	0.610549006195452	0.838158329696775
Row38	0.537382530108221	0.353160843577555	0.0547230098388205	0.134904619128569	0.286358605223089	0.506331379358897	0.696677348781702	0.680900605515895	0.110402477629197	0.6189491806267
Row39	0.00811867026444801	0.651861642464233	0.913446511129141	0.440166896520395	0.205849425686477	0.0541469419322098	0.220048770618167	0.191049960739534	0.39396528304496	0.612365279530074
Row40	0.457669046194784	0.586515587001969	0.0775062567244724	0.273907265584519	0.881851617579191	0.310319531783577	0.49132075759476	0.179527421487045	0.262590639653101	0.356523937709255
Row41	0.449364931656969	0.399756191712221	0.249489509670912	0.651493737224726	0.64871315279316	0.373675104167596	0.7608959197097	0.317433360094668	0.83751967701961	0.646351627718623
Row42	0.521632316724396	0.207766412344981	0.458491564521378	0.161542928319896	0.0570049996545414	0.0778801409954895	0.243679344153787	0.395303756678096	0.667346890890361	0.109130430814176
Row43	0.400259845535967	0.0226621732724581	0.615436940548481	0.902383358865023	0.0812954688322627	0.492971793365207	0.494875968931428	0.438232522318842	0.574151214319297	0.889949777847299
Row44	0.375142337750138	0.568479017349944	0.309405365369667	0.200429967883942	0.280983976675021	0.0772196444513185	0.344897122047708	0.682789424849766	0.130533791048723	0.215310210666956
Row45	0.316335030608467	0.373758254475156	0.776696151642529	0.37003125456225	0.0740890593179664	0.00343602796314002	0.946700830668451	0.449084697731905	0.904976945671063	0.195977425580374
Row46	0.910140212370369	0.916818389779579	0.630727296772644	0.951363982376158	0.709303683910154	0.768662824494442	0.197178175868611	0.0563620737400541	0.918332615438562	0.130647025897176
Row47	0.039095866265054	0.425218602971562	0.64889807969573	0.453640296431388	0.396844481657222	0.978529306404461	0.957134253722462	0.281369748336218	0.448198401704357	0.728319236403813
Row48	0.824951100781053	0.417641865651916	0.129686466032137	0.335614881235252	0.462233261883245	0.627526330882446	0.588434771221468	0.771201595894091	0.106565905902958	0.171143559567668
Row49	0.512104096250521	0.459012611975915	0.663895407612802	0.894360380402432	0.0188937447963973	0.673475930070701	0.144940956625934	0.96099264058094	0.192526250273499	0.146566937469181
Row50	0.694355359648643	0.794515768241965	0.762582253987627	0.107316699683018	0.196847196154156	0.357896048744067	0.355592250818045	0.00677260889953146	0.669104936074451	0.5077031315097
Row51	0.377107112904181	0.29618849851709	0.428914439874465	0.0484996418431081	0.0828826624093715	0.0374495128389256	0.971967248921903	0.0366032899491842	0.114770382060978	0.184952017341026
Row52	0.509276049895934	0.35528210985899	0.523476939324421	0.830524710173883	0.728728473589388	0.138500986602381	0.588734869258129	0.931282912208296	0.876128778351646	0.0553390032592063
Row53	0.0434358248171058	0.318967833492032	0.115231784093243	0.0956189229678301	0.280861574124767	0.533375500947066	0.0620224767282913	0.39823387707321	0.895376714515901	0.0375900480062583
Row54	0.713220807667131	0.93184862185656	0.302016195468067	0.105192274163691	0.848202180989237	0.833445115204626	0.977630509384436	0.456330843594579	0.600852764725193	0.809551213648874
Row55	0.0470871330680573	0.0380592695884943	0.825082894756665	0.8495385619334	0.937038796135692	0.0628209880338559	0.244684272704593	0.247327804155148	0.774652728058864	0.0461964210919561
Row56	0.14294520531843	0.50004765006102	0.210270505490438	0.520424034005494	0.546065604803079	0.488135644783753	0.685180798537001	0.883811056199441	0.851197679725235	0.645144277651923
Row57	0.595607511170538	0.408622834951224	0.587262007127197	0.816852888219231	0.771838839537335	0.342671778432582	0.245059800743778	0.673535247824219	0.600468945017735	0.764531587357119
Row58	0.721253490266765	0.877371275313848	0.574438569017357	0.991619033305447	0.0652770149314712	0.485620648542863	0.119514316128555	0.887477979543952	0.654047323811245	0.0715226613956617
Row59	0.979733813990375	0.00325771930362606	0.22948727759837	0.816802111868384	0.963985834395952	0.643014089542028	0.0794702748236382	0.935621852696201	0.38023604344826	0.328116267674339
